"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.224722858E1,-8.831015788E-3,-1.844823547E-2,2.205772512E-2
1.234695858E1,-1.103303581E-2,-1.216738485E-2,2.489271387E-2
1.244668858E1,-1.288477215E-3,9.851104580E-3,-1.543014776E-3
1.254641917E1,-4.924113862E-3,2.100493759E-2,-2.091153897E-2
1.264614917E1,-2.197892964E-2,2.488350682E-2,-2.676695958E-2
1.274587917E1,-1.584050804E-2,2.776106633E-2,-3.398304805E-2
1.284560917E1,1.070502400E-2,1.161700860E-2,-1.206067763E-2
1.294533917E1,1.055440772E-2,7.282128558E-3,-2.568426076E-3
1.304506917E1,2.554533444E-2,8.231844753E-3,-1.661453396E-3
1.314479917E1,6.058188900E-2,3.043175675E-3,5.789105780E-3
1.324452917E1,-1.324279327E-2,-1.248681545E-2,3.026631847E-2
1.334425917E1,-5.515615642E-2,-1.255339477E-2,2.391228266E-2
1.344398917E1,3.859235346E-2,1.575379632E-2,-1.478352398E-2
1.354371967E1,6.737546623E-2,2.686749585E-2,-2.133604139E-2
1.364344967E1,4.948754981E-2,2.878626809E-2,-2.886842564E-2
1.374317967E1,2.101643570E-2,1.311066374E-2,-3.463440342E-3
1.384290967E1,4.269101471E-2,1.405094285E-2,-1.557237748E-2
1.394263967E1,6.860942394E-2,1.814771816E-2,-1.156095974E-2
1.404236967E1,5.903557688E-2,6.749381777E-3,8.890112862E-3
1.414209967E1,1.066441089E-2,4.890277516E-3,1.619329210E-3
1.424182967E1,4.120284691E-3,-4.212967586E-3,1.013289671E-2
1.434155967E1,-6.878881250E-3,3.167941933E-3,-4.591759294E-3
1.444129067E1,7.806106471E-3,-8.926264010E-3,1.709237136E-2
1.454102017E1,-1.550725661E-2,-4.098493140E-3,6.877264241E-5
1.464075017E1,1.845890656E-2,4.723521881E-3,-3.367212368E-3
1.474048017E1,9.724966250E-3,1.255426649E-2,-1.939306222E-2
1.484021017E1,5.963770673E-4,5.035710055E-4,1.215938944E-3
1.493994017E1,2.071034163E-2,-6.011147518E-3,1.124022622E-2
1.503967017E1,2.971269190E-2,-2.002236620E-2,2.783126198E-2
1.513940117E1,-8.811839856E-3,-2.568988502E-2,3.043180145E-2
1.523913117E1,-4.894802812E-3,-9.503219277E-3,1.618786156E-2
1.533886117E1,2.363685519E-2,-5.082048010E-3,7.159528788E-3
1.543859117E1,8.093656041E-3,-2.048372990E-4,6.537328474E-3
1.553832229E1,-3.144727275E-2,7.066213060E-3,-6.915556733E-3
1.563805229E1,-2.620338276E-2,3.161124419E-3,-4.937040154E-3
1.573778229E1,8.158895653E-4,1.262674481E-2,-1.739707962E-2
1.583751229E1,2.508312277E-2,1.048088260E-2,-9.766634554E-3
1.593724229E1,1.775325090E-2,2.202438191E-3,-3.194624791E-3
1.603697329E1,1.337348134E-3,-5.898545031E-3,1.460228954E-2
1.613670329E1,-9.085501544E-3,-3.580342280E-3,5.998746026E-3
1.623643329E1,-2.110902034E-2,-3.111951286E-3,6.848779041E-3
1.633616429E1,-1.190724224E-2,1.211828552E-2,-1.595768891E-2
1.643589429E1,2.508803457E-2,1.007868536E-2,-4.116786644E-3
1.653562429E1,-1.365374401E-2,7.450297475E-3,-5.289065186E-3
1.663535429E1,-2.236326784E-2,-1.987816300E-3,8.585172705E-3
1.673508529E1,-5.474179052E-3,-3.778319340E-3,9.112163447E-3
1.683481529E1,5.203082040E-2,6.412250921E-3,-5.685702432E-3
1.693454529E1,1.326724980E-2,1.515587233E-2,-1.441333257E-2
1.703427629E1,-4.770407826E-2,1.011670101E-2,-1.059484668E-2
1.713400629E1,-2.735732310E-2,2.389036352E-3,-5.332949106E-3
1.723373629E1,2.983402833E-2,7.549625356E-3,-7.006942760E-3
1.733346729E1,2.003444545E-2,2.241953043E-3,1.853798982E-3
1.743319729E1,2.773727663E-2,8.376129554E-4,2.725012368E-3
1.753292829E1,2.414128184E-2,-1.403490640E-2,2.869217424E-3
1.763265833E1,-9.790717624E-3,-2.487677336E-2,1.321149804E-2
1.773238833E1,4.376071505E-3,-1.879995689E-2,8.094511926E-3
1.783211933E1,-6.796886213E-3,-7.269073278E-3,-9.583735839E-3
1.793184933E1,1.138731651E-2,-2.280185744E-2,1.647497155E-2
1.803158033E1,-1.378854271E-2,-1.134580839E-2,9.906343184E-4
1.813131033E1,2.504109638E-3,-6.472844630E-3,-2.230919898E-3
1.823104133E1,8.419445716E-3,-1.338576525E-2,1.370897610E-2
1.833077133E1,-4.143277183E-2,1.595726120E-3,-7.396259345E-3
1.843050133E1,-5.336047616E-3,-1.537095988E-3,3.550348803E-3
1.853023233E1,7.282652706E-2,-6.045132875E-3,4.656685982E-3
1.862996242E1,-1.044604369E-2,1.966075599E-2,-3.349803016E-2
1.872969342E1,-5.000830069E-2,1.004480477E-2,-1.706517488E-2
1.882942342E1,-2.231578715E-2,9.629867040E-3,-1.298229396E-2
1.892915442E1,4.938771017E-3,1.355785504E-2,-1.747858152E-2
1.902888442E1,1.223595347E-2,1.153884642E-2,-2.379244938E-2
1.912861542E1,-6.330557633E-3,-9.416952729E-3,8.675534278E-3
1.922834542E1,-7.395220920E-3,9.772905614E-4,-3.196221078E-3
1.932807642E1,4.711930174E-3,-6.760765333E-3,6.763241254E-5
1.942780642E1,-2.078176942E-3,2.632540418E-5,-6.150965113E-3
1.952753742E1,6.433715113E-3,6.768899970E-3,-1.343498752E-2
1.962726746E1,5.803559907E-3,9.953233413E-3,-2.618793957E-2
1.972699846E1,2.856823849E-3,1.262758859E-2,-2.709008008E-2
1.982672846E1,-9.743338451E-3,3.117714543E-3,-6.871222984E-3
1.992645946E1,-1.844797470E-2,2.147136442E-2,-3.801972419E-2
2.002618946E1,4.115296993E-3,5.163704045E-3,-1.159361564E-2
2.012592046E1,4.796687979E-3,1.082108263E-2,-1.802846231E-2
2.022565046E1,-3.570388770E-3,-9.220485575E-3,1.198832411E-2
2.032538146E1,2.687647566E-2,-2.221207600E-3,7.730302401E-3
2.042511146E1,-2.548372932E-2,1.464861911E-2,-3.217398422E-3
2.052484246E1,-2.046897821E-2,2.296558768E-2,-1.857403666E-2
2.062457208E1,-1.861712709E-2,3.320387006E-2,-3.992950916E-2
2.072430308E1,-3.837810084E-2,1.394574437E-2,-6.661973428E-3
2.082403308E1,3.830312053E-4,2.559424378E-3,1.275954396E-2
2.092376408E1,1.592189819E-2,1.454411354E-2,-9.431554005E-3
2.102349408E1,-1.773295924E-2,1.353535987E-2,-8.913271129E-3
2.112322508E1,-2.474899590E-2,9.985597804E-3,-2.172831912E-3
2.122295608E1,-1.512626559E-2,-1.183014270E-2,1.067204122E-2
2.132268608E1,1.154904813E-2,-5.667982157E-3,-9.211773286E-4
