"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.035236354E1,-1.135051818E-1,4.545496809E-1,8.566995388E-1
1.045209254E1,-4.933579070E-2,2.652612770E-1,2.022920269E-1
1.055182183E1,-8.816927312E-1,-9.162469983E-2,2.539229411E-1
1.065155183E1,2.974603769E-2,-2.896412426E-1,1.301005483E-2
1.075128083E1,-2.980857915E-1,-6.798306209E-1,-5.603047621E-1
1.085101083E1,-6.756016222E-1,-5.093860388E-1,-2.949049062E-1
1.095074083E1,1.281185340E-1,-6.820952475E-2,2.059307492E-1
1.105047083E1,-1.289715788E-2,4.907129556E-1,6.378879583E-1
1.115020083E1,-7.807252589E-2,6.341141653E-1,5.992092115E-1
1.124992983E1,-1.236226282E-1,3.259834421E-1,2.991809750E-1
1.134965983E1,-1.935887753E-1,-5.821663320E-2,6.146826982E-2
1.144938983E1,-1.458874184E-1,-8.885896683E-2,1.706615138E-1
1.154911958E1,-2.700805704E-1,-1.286241263E-1,-1.038284236E-1
1.164884958E1,-2.688063159E-1,2.879543209E-1,6.172449481E-1
1.174857958E1,-1.934533392E-1,5.258149606E-1,9.680977678E-1
1.184830858E1,1.889630064E-1,4.530884618E-1,4.031076318E-1
1.194803858E1,-7.914697917E-2,3.550505358E-1,-1.957308662E-1
1.204776858E1,3.418356822E-1,3.710830164E-1,6.264940739E-1
1.214749858E1,4.049242886E-1,1.331393462E-1,-1.355495685E-1
1.224722858E1,-1.255334526E-1,-1.968342358E-1,-3.241275358E-1
1.234695858E1,-2.371977299E-1,-1.255087298E-1,2.569664168E-1
1.244668858E1,-6.210568211E-1,-4.260906976E-1,4.160048354E-1
1.254641917E1,7.767556755E-1,-3.773588330E-1,3.878364587E-1
1.264614917E1,6.113675462E-1,-7.365638155E-1,7.251985824E-1
1.274587917E1,2.271633231E-1,-3.098574060E-1,9.661839741E-1
1.284560917E1,-5.617541590E-2,-1.999847156E-1,1.172433397E0
1.294533917E1,-1.497576082E-2,1.960349214E-1,7.412123519E-1
1.304506917E1,-3.627246409E-1,-1.433480000E-1,1.157653974E0
1.314479917E1,-1.249101759E-1,-7.771709740E-2,1.211098110E0
1.324452917E1,-4.413933726E-1,-7.784819198E-1,-7.721189797E-2
1.334425917E1,-1.134524290E-2,-9.767621720E-1,5.135106647E-1
1.344398917E1,-4.529233510E-1,-6.349643505E-1,6.716755092E-1
1.354371967E1,2.325126301E-1,7.716979802E-2,6.893066186E-1
1.364344967E1,-3.202308782E-1,4.283336896E-1,5.472262949E-1
1.374317967E1,3.116405144E-2,5.352734166E-1,8.361342967E-2
1.384290967E1,-8.594113313E-2,8.009492612E-1,5.158495510E-1
1.394263967E1,-2.882586868E-1,8.105398643E-1,-1.438520300E-1
1.404236967E1,-5.051693192E-1,8.790212846E-1,6.305052638E-2
1.414209967E1,-3.389353536E-1,6.431983995E-1,-1.950128281E-1
1.424182967E1,3.177185489E-1,4.576498747E-1,-6.142593598E-1
1.434155967E1,-5.355883257E-2,2.941330737E-1,-3.501394594E-1
1.444129067E1,-8.815271454E-2,1.810262883E-1,-3.208805770E-1
1.454102017E1,1.990733174E-1,1.042038149E-1,-2.793442959E-1
1.464075017E1,1.869807455E-1,3.251695096E-2,3.167436719E-2
1.474048017E1,3.233451784E-2,2.399761623E-1,-9.755553067E-2
1.484021017E1,1.978820934E-1,1.684454191E-1,4.229478192E-1
1.493994017E1,-5.073325697E-2,3.600428885E-1,7.735123712E-1
1.503967017E1,1.923949383E-1,2.599180913E-1,2.520886695E-1
1.513940117E1,-1.880745951E-2,6.282423913E-2,1.502874756E-1
1.523913117E1,1.093818350E-1,1.080056745E-1,3.853110462E-1
1.533886117E1,-1.542654460E-1,1.104691064E-1,5.410545588E-1
1.543859117E1,2.637899165E-1,-3.885299385E-2,4.055277944E-2
1.553832229E1,-2.015833992E-1,-5.510942280E-1,-6.754820466E-2
1.563805229E1,4.471227669E-1,-5.595890629E-1,-1.985246658E-2
1.573778229E1,5.279728024E-1,-2.284483767E-1,3.414867496E-1
1.583751229E1,-1.729436273E-1,-2.476009315E-1,4.144974232E-1
1.593724229E1,-2.869128404E-1,-1.299192846E-1,2.400504220E-1
1.603697329E1,-4.121351846E-1,9.544410110E-2,5.140275586E-1
1.613670329E1,-2.513268687E-1,-1.786090493E-2,3.675629926E-1
1.623643329E1,-4.674543763E-2,-1.777723128E-1,1.923231089E-1
1.633616429E1,3.821825666E-1,-2.039298320E-1,4.270630896E-1
1.643589429E1,2.271061848E-1,-7.134784234E-1,8.318190515E-2
1.653562429E1,-5.658746736E-1,-2.303101301E-1,2.161996293E-1
1.663535429E1,-4.195244206E-1,-2.432751614E-1,3.741393560E-1
1.673508529E1,-1.260195024E-1,-2.951575059E-1,-6.884160876E-2
1.683481529E1,2.116247495E-1,4.180285567E-1,5.586073154E-1
1.693454529E1,5.017431797E-1,-1.001955485E-1,-8.913460457E-1
1.703427629E1,1.276110048E-1,-1.484198749E-1,-7.700619292E-1
1.713400629E1,-5.201821185E-1,2.118241578E-1,-5.707970059E-1
1.723373629E1,-2.433666520E-1,3.595868057E-1,-3.458651447E-1
1.733346729E1,-6.164947869E-2,3.585635430E-1,-1.900052726E-1
1.743319729E1,-8.893393910E-2,5.207372385E-1,4.083005440E-1
1.753292829E1,-3.622676444E-1,3.358225518E-1,2.177503109E-1
1.763265833E1,8.605181361E-1,6.352356613E-2,-1.731021416E-1
1.773238833E1,4.609127672E-1,-7.930344701E-2,6.666293621E-2
1.783211933E1,2.266219988E-2,-2.741396892E-1,-2.010635269E-1
1.793184933E1,2.172136644E-1,8.934779406E-2,4.636327457E-1
1.803158033E1,3.228639525E-1,-1.257566518E-1,4.016803265E-1
1.813131033E1,-2.780654915E-1,-3.277943248E-1,4.345925492E-1
1.823104133E1,-7.678026382E-2,-4.348012948E-1,6.276436365E-1
1.833077133E1,3.198747097E-1,-4.167883623E-1,6.285786062E-1
1.843050133E1,-1.997666510E-2,-5.492850995E-1,6.089606130E-1
1.853023233E1,-1.677475722E-2,9.710880339E-2,1.410392854E0
1.862996242E1,3.057257086E-1,-6.639870054E-1,9.301399827E-2
1.872969342E1,4.007491574E-2,-1.352697208E0,-1.067707425E-1
1.882942342E1,-1.157626273E-1,-8.539554405E-1,-2.728287435E-1
1.892915442E1,1.749720264E-1,-4.103084779E-1,5.427654541E-1
1.902888442E1,3.768535970E-2,-3.441665286E-1,4.426552749E-1
1.912861542E1,5.283832770E-2,-2.013067710E-1,4.976997936E-1
1.922834542E1,-3.237771780E-1,-1.059825379E-1,4.649922234E-1
1.932807642E1,-7.418837585E-4,-6.565487623E-2,5.452014041E-1
1.942780642E1,-2.821001982E-2,-1.639734685E-1,2.277227372E-1
1.952753742E1,-1.184607336E-1,-3.190620929E-1,1.758678746E-1
1.962726746E1,6.083063827E-1,-2.671089971E-1,1.847550577E-1
1.972699846E1,-4.556049937E-2,-3.780768710E-1,-2.288366318E-2
1.982672846E1,-1.539798461E-2,-2.917170042E-1,1.186400056E-2
1.992645946E1,-2.737819127E-1,-1.081781673E-1,2.589345896E-1
2.002618946E1,-2.216036626E-1,-3.275317848E-2,3.709087694E-1
2.012592046E1,-1.834275570E-1,-1.983083189E-2,-2.504222131E-1
2.022565046E1,1.173974357E-1,1.466820824E-1,4.691396534E-2
2.032538146E1,-2.546171152E-1,1.547202498E-1,-4.984634399E-1
2.042511146E1,-6.828796515E-1,5.766407132E-1,-7.497194660E-1
2.052484246E1,3.066904444E-1,1.454138213E-1,-5.688662553E-1
2.062457208E1,-3.920688561E-1,-1.220091712E-1,-8.742423552E-1
2.072430308E1,-7.033227599E-1,2.328472370E-1,-2.832660234E-1
2.082403308E1,3.687797982E-1,1.224634999E-1,-1.865250099E-1
2.092376408E1,-1.017628581E0,-1.304408562E-1,-7.371210551E-1
