"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.721979296E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.820635700E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
6.921381998E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
7.020153201E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
7.119568098E1,4.547553800E1,-7.357369300E1,-1.450000000E1,0.000000000E0,1.459068298E2,3.000000000E1,5.700000000E1
7.219676399E1,4.547553200E1,-7.357368900E1,-1.450000000E1,2.572222222E-1,1.459068298E2,3.000000000E1,5.700000000E1
7.319346797E1,4.547550800E1,-7.357365800E1,-1.490000000E1,2.778000000E0,1.459068298E2,3.000000000E1,5.700000000E1
7.418068898E1,4.547546000E1,-7.357362500E1,-1.530000000E1,5.556000000E0,1.553063965E2,3.000000000E1,5.700000000E1
7.517854595E1,4.547539600E1,-7.357358100E1,-1.500000000E1,7.768111111E0,1.554861450E2,1.000000000E1,1.900000000E1
7.627228498E1,4.547532900E1,-7.357353300E1,-1.520000000E1,7.510888889E0,1.554861450E2,1.000000000E1,1.900000000E1
7.728007293E1,4.547527700E1,-7.357349400E1,-1.560000000E1,6.379111111E0,1.554861450E2,1.000000000E1,1.900000000E1
7.827178991E1,4.547522200E1,-7.357345400E1,-1.580000000E1,6.636333333E0,1.554861450E2,1.000000000E1,1.900000000E1
7.927443302E1,4.547515800E1,-7.357341500E1,-1.600000000E1,7.510888889E0,1.598000000E2,1.000000000E1,1.900000000E1
8.024969602E1,4.547508700E1,-7.357339500E1,-1.600000000E1,8.025333333E0,1.737000000E2,1.000000000E1,1.900000000E1
8.125033700E1,4.547501900E1,-7.357340500E1,-1.590000000E1,7.510888889E0,1.935000000E2,1.000000000E1,1.900000000E1
8.224178302E1,4.547496400E1,-7.357345000E1,-1.540000000E1,6.945000000E0,2.191000000E2,1.000000000E1,1.900000000E1
8.324686396E1,4.547492300E1,-7.357352900E1,-1.540000000E1,7.510888889E0,2.396000000E2,1.000000000E1,1.900000000E1
8.423494196E1,4.547485502E1,-7.357361806E1,-1.470000000E1,9.157111111E0,2.442373962E2,1.000000000E1,1.900000000E1
8.523546100E1,4.547480988E1,-7.357375265E1,-1.440000000E1,1.136922222E1,2.449354248E2,1.000000000E1,1.900000000E1
8.622509694E1,4.547475861E1,-7.357390719E1,-1.380000000E1,1.332411111E1,2.441001740E2,3.000000000E1,5.700000000E1
8.722408998E1,4.547470131E1,-7.357407321E1,-1.360000000E1,1.445588889E1,2.431938629E2,3.000000000E1,5.700000000E1
8.821146798E1,4.547463950E1,-7.357424609E1,-1.310000000E1,1.527900000E1,2.421492920E2,3.000000000E1,5.700000000E1
8.921420193E1,4.547457251E1,-7.357441896E1,-1.250000000E1,1.553622222E1,2.394322662E2,3.000000000E1,5.700000000E1
9.020598698E1,4.547451700E1,-7.357459100E1,-1.180000000E1,1.471311111E1,2.349931183E2,3.000000000E1,5.700000000E1
9.120651591E1,4.547443700E1,-7.357473600E1,-1.100000000E1,1.414722222E1,2.318805847E2,3.000000000E1,5.700000000E1
9.219272196E1,4.547434700E1,-7.357488500E1,-9.700000000E0,1.502177778E1,2.287681580E2,3.000000000E1,5.700000000E1
9.319408298E1,4.547424700E1,-7.357503400E1,-8.800000000E0,1.584488889E1,2.262178345E2,3.000000000E1,5.700000000E1
9.418160200E1,4.547413600E1,-7.357518100E1,-7.900000000E0,1.666800000E1,2.225604553E2,3.000000000E1,5.700000000E1
9.518895698E1,4.547401500E1,-7.357532500E1,-7.500000000E0,1.723388889E1,2.197496948E2,3.000000000E1,5.700000000E1
9.627491093E1,4.547387100E1,-7.357547800E1,-6.400000000E0,1.805700000E1,2.147989349E2,3.000000000E1,5.700000000E1
9.727965701E1,4.547374000E1,-7.357561100E1,-5.900000000E0,1.774833333E1,2.147989349E2,1.000000000E1,1.900000000E1
9.826370299E1,4.547360000E1,-7.357575000E1,-5.300000000E0,1.888011111E1,2.149561462E2,1.000000000E1,1.900000000E1
9.926757693E1,4.547343331E1,-7.357585501E1,-4.400000000E0,1.944600000E1,2.205850525E2,1.000000000E1,1.900000000E1
1.002502199E2,4.547330100E1,-7.357603100E1,-3.900000000E0,1.970322222E1,2.205850525E2,1.000000000E1,1.900000000E1
1.012519540E2,4.547315700E1,-7.357617500E1,-4.500000000E0,1.944600000E1,2.176594543E2,1.000000000E1,1.900000000E1
1.022505020E2,4.547300800E1,-7.357632600E1,-4.400000000E0,2.026911111E1,2.162474976E2,1.000000000E1,1.900000000E1
1.032478200E2,4.547285400E1,-7.357646900E1,-4.700000000E0,2.001188889E1,2.168329468E2,1.000000000E1,1.900000000E1
1.042373010E2,4.547269800E1,-7.357661500E1,-4.500000000E0,2.052633333E1,2.159766083E2,1.000000000E1,1.900000000E1
1.052121999E2,4.547253200E1,-7.357676500E1,-4.100000000E0,2.140088889E1,2.159766083E2,1.000000000E1,1.900000000E1
1.062231790E2,4.547236000E1,-7.357692300E1,-5.000000000E0,2.248122222E1,2.149299927E2,3.000000000E1,5.700000000E1
1.072310230E2,4.547218500E1,-7.357708100E1,-5.300000000E0,2.278988889E1,2.142227173E2,3.000000000E1,5.700000000E1
1.082138489E2,4.547200300E1,-7.357724400E1,-5.400000000E0,2.361300000E1,2.142251434E2,3.000000000E1,5.700000000E1
1.092138860E2,4.547181800E1,-7.357740800E1,-5.000000000E0,2.417888889E1,2.136976624E2,3.000000000E1,5.700000000E1
1.102083650E2,4.547162700E1,-7.357757500E1,-6.000000000E0,2.474477778E1,2.141034546E2,1.000000000E1,1.900000000E1
1.112127160E2,4.547143800E1,-7.357774000E1,-6.100000000E0,2.500200000E1,2.127610168E2,1.000000000E1,1.900000000E1
1.122084509E2,4.547124700E1,-7.357790600E1,-6.300000000E0,2.443611111E1,2.124124756E2,1.000000000E1,1.900000000E1
