"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.294081692E1,1.182540894E-2,6.776707764E0,6.981332245E0
2.304054792E1,-8.038284302E-2,6.958280182E0,6.791976013E0
2.314027792E1,6.828799438E-1,7.071744232E0,6.982080688E0
2.324000892E1,2.700384521E-1,6.926995239E0,6.788982239E0
2.333973992E1,-2.140548706E-2,7.211254120E0,5.717360687E0
2.343946992E1,-1.333726501E-1,7.185956726E0,5.868695984E0
2.353920092E1,8.861572266E-2,7.389683075E0,6.142027588E0
2.363893271E1,2.151026917E-1,7.139253845E0,5.797444153E0
2.373866271E1,2.245330811E-2,7.197931824E0,5.824238434E0
2.383839371E1,4.210743713E-1,7.466922455E0,6.436016235E0
2.393812471E1,3.787124634E-1,7.771389313E0,6.967111816E0
2.403785471E1,-2.555186462E-1,7.605983276E0,6.427633667E0
2.413758571E1,-2.959346008E-1,7.474107513E0,5.834267578E0
2.423731671E1,-8.791218567E-1,7.907156982E0,6.600075073E0
2.433704671E1,-2.200424194E-1,7.501650238E0,6.245462494E0
2.443677771E1,-1.435514832E-1,6.807693329E0,6.153403931E0
2.453650871E1,9.445358276E-2,6.493347015E0,6.502028961E0
2.463623892E1,6.301895142E-2,6.621480560E0,6.763385468E0
2.473596892E1,3.230282593E-1,6.630012817E0,6.617588654E0
2.483569992E1,2.266287231E-1,7.270231476E0,6.687642975E0
2.493543092E1,3.186872864E-1,7.734715576E0,6.377338257E0
2.503516092E1,2.848576355E-1,7.505392456E0,6.316864014E0
2.513489192E1,2.564167786E-1,7.438481598E0,6.340814209E0
2.523462292E1,5.671705627E-1,7.445516968E0,6.711892548E0
2.533435292E1,5.920188904E-1,7.349865875E0,6.725813599E0
2.543408392E1,4.632865906E-1,7.056176605E0,6.775061188E0
2.553381492E1,6.292913818E-1,6.881639557E0,6.551875305E0
2.563354583E1,9.464817810E-1,6.791227570E0,6.859485626E0
2.573327583E1,3.438349915E-1,6.968159637E0,6.620582428E0
2.583300683E1,2.695893860E-1,7.467072144E0,6.198011169E0
2.593273783E1,4.230203247E-1,7.526348877E0,6.006708984E0
2.603246883E1,5.014572144E-2,7.291038208E0,6.311175842E0
2.613219883E1,1.990859985E-1,7.386389923E0,6.751110992E0
2.623192983E1,4.402345276E-1,6.869065704E0,6.830146637E0
2.633166083E1,5.372328186E-1,6.521937561E0,6.364614716E0
2.643139183E1,6.273454285E-1,6.721472626E0,7.160809021E0
2.653112183E1,7.156617737E-1,7.029382324E0,7.250173187E0
2.663085321E1,5.478607178E-1,7.035968628E0,7.528444519E0
2.673058421E1,8.607101440E-1,7.139253845E0,7.334447937E0
2.683031521E1,9.611512756E-1,7.292385406E0,7.408992920E0
2.693004621E1,4.778063965E-1,7.235653381E0,7.247778168E0
2.702977621E1,7.830216980E-1,6.954388275E0,7.301965485E0
2.712950721E1,7.828720093E-1,7.195387115E0,6.879394226E0
2.722923821E1,7.529342651E-1,7.582182770E0,6.268364868E0
2.732896921E1,8.430468750E-1,7.475155334E0,5.824388123E0
2.742870021E1,8.232879639E-1,7.380252686E0,6.207890625E0
2.752843021E1,6.138734436E-1,7.509883118E0,6.583010559E0
2.762816096E1,8.533753967E-1,7.080426178E0,6.503076782E0
2.772789196E1,8.945397949E-1,7.014712830E0,6.373446350E0
2.782762296E1,6.140231323E-1,7.046147461E0,6.725065155E0
2.792735396E1,1.078656921E0,7.127578125E0,6.862329712E0
2.802708396E1,8.776249695E-1,6.818470917E0,6.744375000E0
2.812681496E1,4.565505981E-1,6.947053528E0,7.269782410E0
2.822654596E1,6.581813049E-1,6.727759552E0,7.143295441E0
2.832627696E1,5.996530151E-1,6.830895081E0,7.115453339E0
2.842600796E1,6.854246521E-1,7.035070496E0,7.235054626E0
2.852573896E1,6.050418091E-1,7.103029175E0,6.894662476E0
2.862546958E1,2.576142883E-1,7.637417908E0,6.328390045E0
2.872520058E1,3.285667419E-1,7.693551178E0,6.116131439E0
2.882493158E1,1.745370483E-1,7.452103271E0,6.364465027E0
2.892466258E1,2.814147949E-2,7.409142609E0,7.224426727E0
2.902439358E1,3.308120728E-2,7.218888245E0,7.296726379E0
2.912412458E1,8.981323242E-2,6.673422546E0,7.422614594E0
2.922385558E1,4.381388855E-1,6.597979431E0,7.878566437E0
2.932358558E1,2.796185303E-1,6.747219086E0,7.623347168E0
2.942331658E1,2.763253784E-1,7.493567047E0,7.428751831E0
2.952304758E1,-3.577560425E-1,7.672295380E0,6.442602539E0
2.962277867E1,1.426533508E-1,7.796686707E0,6.238427124E0
2.972250967E1,-3.638932800E-1,7.250322876E0,6.500681763E0
2.982224067E1,1.112187195E-1,7.031178589E0,6.951693878E0
2.992197167E1,8.596623230E-1,6.915469208E0,7.628436584E0
3.002170267E1,1.005159760E0,6.467001801E0,8.083789673E0
3.012143267E1,7.355703735E-1,6.406377869E0,8.282127228E0
3.022116367E1,1.468446350E-1,6.298152924E0,8.037236481E0
3.032089467E1,-1.287322998E-2,6.437962189E0,8.064629517E0
3.042062567E1,2.824626160E-1,6.519692230E0,7.928861847E0
3.052035667E1,4.092489624E-1,6.494245148E0,7.710915070E0
3.062008704E1,3.855981445E-1,6.452931061E0,7.886949005E0
3.071981804E1,2.829116821E-1,6.397695923E0,7.809559937E0
3.081954904E1,1.992356873E-1,6.499184875E0,8.052504730E0
3.091928004E1,-8.918453979E-1,6.846911774E0,7.893535309E0
3.101901104E1,3.842509460E-1,6.366261292E0,7.886200562E0
3.111874204E1,2.469863892E-1,6.372997284E0,7.908204803E0
3.121847304E1,1.859133911E-1,6.488407288E0,7.736511841E0
3.131820304E1,1.505868530E-1,6.520889740E0,7.725285187E0
3.141793404E1,4.400848389E-2,6.573280792E0,7.811356201E0
3.151766504E1,2.679428101E-1,6.519692230E0,7.690707092E0
3.161739667E1,2.477348328E-1,6.618037720E0,7.719896393E0
3.171712767E1,1.559756470E-1,6.675967255E0,7.639363861E0
3.181685867E1,-7.125183105E-1,6.675218811E0,7.493567047E0
3.191658967E1,-1.002914429E-2,6.816225586E0,7.328161011E0
3.201632067E1,1.120270386E0,7.154222717E0,6.885232086E0
3.211605167E1,1.695973206E-1,7.233108673E0,6.836134186E0
3.221578267E1,1.580712891E-1,7.308551788E0,6.685996399E0
3.231551367E1,1.434017944E-1,7.319329376E0,6.607409821E0
3.241524467E1,5.448669434E-2,7.280559998E0,6.636748810E0
3.251497567E1,-7.649093628E-2,7.209607544E0,6.792874146E0
3.261470617E1,5.837860107E-2,7.215894470E0,6.861431580E0
3.271443717E1,1.935475159E-1,7.159312134E0,6.880292358E0
3.281416817E1,1.742376709E-1,7.136110382E0,6.828050995E0
3.291389917E1,8.187973022E-2,7.165599060E0,6.871610413E0
3.301363017E1,5.538482666E-2,7.187603302E0,6.860683136E0
3.311336117E1,8.083190918E-2,7.201224976E0,6.849905548E0
3.321309217E1,9.789642334E-2,7.181915131E0,6.805597687E0
3.331282317E1,7.619155884E-2,7.213948517E0,6.840774536E0
3.341255417E1,6.945556641E-2,7.386240234E0,6.645131378E0
3.351228517E1,6.316864014E-2,8.215815125E0,5.842799835E0
3.361201604E1,-4.041595459E-3,8.115373993E0,5.487588501E0
3.371174704E1,3.787124634E-2,7.828420715E0,5.567222900E0
