"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.419232103E2,9.324790955E0,2.090668869E1,1.592124939E1
5.420229432E2,9.327117920E0,2.267130661E1,1.557826233E1
5.421226752E2,9.212730408E0,2.511008263E1,1.553559875E1
5.422224082E2,9.116523743E0,2.715529633E1,1.513198090E1
5.423221402E2,9.677886963E0,2.695801353E1,1.463980865E1
5.424218732E2,1.005532837E1,2.543741989E1,1.506285095E1
5.425216062E2,9.755783081E0,2.524743080E1,1.543268585E1
5.426213382E2,1.082396698E1,2.704770470E1,1.618544769E1
5.427210712E2,1.186539459E1,2.904085922E1,1.705770111E1
5.428208032E2,1.190922546E1,2.469774437E1,1.575789642E1
5.429205362E2,1.190695953E1,2.359501839E1,1.583369446E1
5.430202682E2,1.233159637E1,2.313744545E1,1.526727295E1
5.431200012E2,1.238806152E1,2.073003387E1,1.409435272E1
5.432197332E2,1.300675964E1,1.896875000E1,1.374547577E1
5.433194662E2,1.344578552E1,1.554817963E1,1.225896454E1
5.434191992E2,1.280868530E1,1.340412521E1,1.134030914E1
5.435189312E2,1.241143036E1,1.156096268E1,1.153507233E1
5.436186642E2,1.426036835E1,1.148820877E1,1.344264221E1
5.437183962E2,1.379875183E1,1.356602478E1,1.359479523E1
5.438181292E2,1.307025909E1,1.669928741E1,1.415206909E1
5.439178622E2,1.234667969E1,1.729803848E1,1.430672455E1
5.440175942E2,1.201548004E1,1.731735992E1,1.423991394E1
5.441173279E2,1.176885223E1,1.834105682E1,1.401302338E1
5.442170599E2,1.122995758E1,1.955492401E1,1.328510284E1
5.443167929E2,1.034153748E1,2.067957687E1,1.320587158E1
5.444165249E2,9.444305420E0,2.185638809E1,1.349585724E1
5.445162579E2,9.766685486E0,2.238169098E1,1.469988251E1
5.446159899E2,1.031488800E1,2.284017372E1,1.516129303E1
5.447157229E2,9.677597046E0,2.317834663E1,1.457083893E1
5.448154549E2,9.144943237E0,2.287364388E1,1.439449310E1
5.449151879E2,9.389869690E0,2.249578094E1,1.409697723E1
5.450149199E2,9.344879150E0,2.233662796E1,1.471038818E1
5.451146510E2,9.645172119E0,2.470473099E1,1.618093109E1
5.452143840E2,9.916824341E0,2.720776749E1,1.711052704E1
5.453141160E2,1.002756500E1,2.754772949E1,1.665123749E1
5.454138490E2,1.007638550E1,2.732313919E1,1.634531403E1
5.455135810E2,1.001445007E1,2.472161865E1,1.593093109E1
5.456133140E2,1.075007629E1,2.205491257E1,1.499229431E1
5.457130460E2,1.075700378E1,2.157328033E1,1.471023560E1
5.458127790E2,1.073091888E1,2.130155563E1,1.467481995E1
5.459125110E2,1.063058472E1,2.084128952E1,1.491786957E1
5.460122440E2,1.061973572E1,1.926417160E1,1.425902557E1
5.461119763E2,1.048521423E1,1.678378677E1,1.274242401E1
5.462117093E2,1.076489258E1,1.005866241E1,1.105821228E1
5.463114413E2,1.089227295E1,6.750320435E0,1.107537842E1
5.464111743E2,1.012836456E1,9.550323486E0,1.175822449E1
5.465109063E2,9.066711426E0,1.480560303E1,1.289150238E1
5.466106383E2,8.303161621E0,1.846875381E1,1.410677338E1
5.467103713E2,8.567916870E0,2.047988129E1,1.464608002E1
5.468101033E2,8.490547180E0,2.278106117E1,1.502146149E1
5.469098363E2,8.781341553E0,2.424114418E1,1.581047821E1
5.470095693E2,8.634056091E0,2.708378601E1,1.652018738E1
5.471093014E2,8.684494019E0,3.023599243E1,1.726623535E1
5.472090344E2,8.584678650E0,3.072456360E1,1.707225037E1
5.473087664E2,8.131904602E0,2.986340141E1,1.722068024E1
5.474084984E2,8.115516663E0,2.915353966E1,1.724031067E1
5.475082314E2,8.158042908E0,2.889179802E1,1.667922974E1
5.476079644E2,8.278938293E0,2.874210548E1,1.596702576E1
5.477076964E2,8.329093933E0,2.808398819E1,1.611967468E1
5.478074294E2,8.104606628E0,2.708904076E1,1.531539917E1
5.479071614E2,8.006042480E0,2.600114441E1,1.471351624E1
5.480068944E2,8.170280457E0,2.490601158E1,1.499773407E1
5.481066258E2,8.364143372E0,2.396825027E1,1.520685577E1
5.482063588E2,8.587432861E0,2.350204277E1,1.539043427E1
5.483060908E2,8.446907043E0,2.292892265E1,1.534429932E1
5.484058238E2,8.634674072E0,2.260850143E1,1.477374268E1
5.485055558E2,8.666061401E0,2.210281754E1,1.499520111E1
5.486052888E2,8.749526978E0,2.169057465E1,1.456278992E1
5.487050208E2,8.946792603E0,2.121573257E1,1.421918488E1
5.488047538E2,8.919586182E0,2.087105560E1,1.490744781E1
5.489044858E2,9.093177795E0,2.055700302E1,1.431697083E1
5.490042188E2,9.143447876E0,1.996161652E1,1.424967957E1
5.491039515E2,9.327804565E0,1.918980789E1,1.428121948E1
5.492036845E2,9.316772461E0,1.893756104E1,1.418981171E1
5.493034165E2,9.512596130E0,1.871543503E1,1.487928772E1
5.494031495E2,9.757537842E0,1.843482590E1,1.437464905E1
5.495028825E2,9.917259216E0,1.827223969E1,1.449672699E1
5.496026145E2,9.929420471E0,1.805254364E1,1.437178040E1
5.497023475E2,9.692787170E0,1.825503540E1,1.476597595E1
5.498020795E2,9.821365356E0,1.836431503E1,1.449841309E1
5.499018125E2,9.960205078E0,1.804933167E1,1.451065826E1
5.500015445E2,9.781875610E0,1.834147644E1,1.465541077E1
5.501012775E2,9.768066406E0,1.821899033E1,1.456958008E1
5.502010105E2,9.910896301E0,1.815261078E1,1.443215942E1
5.503007425E2,1.004097748E1,1.822732162E1,1.426698303E1
5.504004755E2,9.909080505E0,1.841792679E1,1.436412811E1
5.505002075E2,1.011186218E1,1.823149872E1,1.438690186E1
5.505999405E2,9.890884399E0,1.828264618E1,1.432664490E1
5.506996735E2,9.980499268E0,1.838297272E1,1.432467651E1
5.507994055E2,9.903923035E0,1.831310272E1,1.471994781E1
5.508991385E2,1.007087708E1,1.814098358E1,1.453382111E1
5.509988705E2,1.012204742E1,1.838426208E1,1.449531555E1
5.510986033E2,1.001306152E1,1.829383850E1,1.478562927E1
5.511983363E2,9.987876892E0,1.833124542E1,1.437791443E1
5.512980683E2,1.018714142E1,1.822026825E1,1.447898865E1
5.513978013E2,1.002244568E1,1.831340408E1,1.468746185E1
5.514975343E2,1.001168060E1,1.809840393E1,1.448773956E1
5.515972663E2,1.013846588E1,1.809029388E1,1.419515228E1
5.516969993E2,1.004014587E1,1.826987076E1,1.391234589E1
5.517967313E2,1.009791565E1,1.796073532E1,1.433724213E1
5.518964643E2,9.980667114E0,1.835692596E1,1.421266937E1
5.519961973E2,9.739425659E0,1.835421371E1,1.434004974E1
5.520959298E2,9.916297913E0,1.825330734E1,1.423770142E1
5.521956628E2,1.002835846E1,1.831156540E1,1.448886871E1
5.522953958E2,1.013006592E1,1.834243774E1,1.421846771E1
5.523951278E2,1.000022888E1,1.830649948E1,1.476473999E1
5.524948608E2,1.013597107E1,1.822052765E1,1.451197815E1
5.525945938E2,9.960830688E0,1.835349655E1,1.447553253E1
5.526943258E2,9.695587158E0,1.822468185E1,1.453017426E1
5.527940588E2,1.001514435E1,1.819579697E1,1.451488495E1
5.528937918E2,1.001583099E1,1.809408569E1,1.465450287E1
5.529935238E2,1.010688019E1,1.809947968E1,1.433551788E1
5.530932560E2,9.896095276E0,1.844058990E1,1.467503357E1
5.531929890E2,1.007933044E1,1.835096741E1,1.444443512E1
5.532927210E2,9.955932617E0,1.831948853E1,1.459542084E1
5.533924540E2,1.001431274E1,1.831300735E1,1.444241333E1
5.534921870E2,1.004579926E1,1.826696014E1,1.434225464E1
5.535919190E2,9.880897522E0,1.857091522E1,1.462390900E1
5.536916520E2,9.873802185E0,1.873864746E1,1.425090027E1
5.537913850E2,9.931144714E0,1.874872971E1,1.429790497E1
5.538911170E2,9.870460510E0,1.851322174E1,1.485801697E1
5.539908500E2,9.807937622E0,1.863476944E1,1.449549866E1
5.540905827E2,9.910339355E0,1.879881287E1,1.452841949E1
5.541903147E2,9.961570740E0,1.881538010E1,1.446301270E1
5.542900477E2,9.834236145E0,1.873969269E1,1.460142517E1
5.543897807E2,9.755851746E0,1.877615356E1,1.474219513E1
5.544895127E2,9.997238159E0,1.849468231E1,1.467166138E1
5.545892457E2,1.004120636E1,1.856207275E1,1.457712555E1
5.546889787E2,1.007341003E1,1.868274689E1,1.462252045E1
5.547887107E2,1.010386658E1,1.859250641E1,1.462936401E1
5.548884437E2,9.955291748E0,1.865476608E1,1.493056488E1
5.549881767E2,1.015125275E1,1.836094666E1,1.455056000E1
5.550879092E2,9.900535583E0,1.845542145E1,1.455475616E1
5.551876422E2,9.894096375E0,1.836687088E1,1.454615021E1
5.552873752E2,9.750564575E0,1.861547089E1,1.462405396E1
5.553871072E2,9.723350525E0,1.851192856E1,1.456172943E1
5.554868402E2,9.819679260E0,1.831254959E1,1.513604736E1
5.555865732E2,9.800003052E0,1.845513535E1,1.499549866E1
5.556863052E2,9.763442993E0,1.869470596E1,1.476514435E1
5.557860382E2,9.852043152E0,1.859610367E1,1.468257141E1
5.558857712E2,9.754196167E0,1.879024887E1,1.451299286E1
5.559855032E2,9.795944214E0,1.869210815E1,1.447597504E1
5.560852355E2,1.007102203E1,1.803276443E1,1.451597595E1
5.561849685E2,9.817008972E0,1.826713943E1,1.458482361E1
5.562847015E2,9.870246887E0,1.821644974E1,1.444760895E1
5.563844335E2,9.817260742E0,1.822922134E1,1.446690369E1
5.564841665E2,9.932647705E0,1.813185120E1,1.470576477E1
5.565838995E2,9.954147339E0,1.818508911E1,1.448190308E1
5.566836315E2,9.760383606E0,1.817130280E1,1.447222137E1
5.567833645E2,9.860038757E0,1.766187286E1,1.456648254E1
5.568830975E2,9.800575256E0,1.741614532E1,1.523053741E1
5.569828295E2,1.003035736E1,1.731945419E1,1.540695953E1
5.570825628E2,9.904479980E0,1.787503433E1,1.459465027E1
5.571822958E2,9.933036804E0,1.718868256E1,1.518156433E1
5.572820278E2,9.986167908E0,1.719908524E1,1.402774048E1
5.573817608E2,1.032393646E1,1.599164200E1,1.471849823E1
5.574814938E2,1.031459808E1,1.497808838E1,1.476744080E1
5.575812258E2,1.049625397E1,1.387133408E1,1.348062134E1
5.576809588E2,1.075209045E1,1.277322006E1,1.361383820E1
5.577806918E2,1.068480682E1,1.167315674E1,1.344016266E1
5.578804238E2,1.054077911E1,1.037862015E1,1.421879578E1
5.579801568E2,1.090454865E1,9.590915680E0,1.337228394E1
5.580798900E2,1.078830719E1,8.899269104E0,1.340888977E1
5.581796220E2,1.100009918E1,8.561817169E0,1.290153503E1
5.582793550E2,1.107765961E1,8.098125458E0,1.300679016E1
5.583790880E2,1.134386444E1,7.345691681E0,1.382968140E1
5.584788200E2,1.167158508E1,6.888088226E0,1.287400055E1
5.585785530E2,1.202885437E1,6.443035126E0,1.321703339E1
5.586782860E2,1.206041718E1,5.455718994E0,1.271697235E1
5.587780180E2,1.237841034E1,3.406570435E0,1.286621094E1
5.588777510E2,1.271783447E1,2.391635895E0,1.242568970E1
5.589774840E2,1.281710815E1,1.913288116E0,1.245921326E1
5.590772170E2,1.285446930E1,1.347583771E0,1.227333832E1
5.591769500E2,1.292553711E1,8.603134155E-1,1.239583588E1
5.592766830E2,1.288744354E1,1.693878174E-1,1.255128479E1
5.593764150E2,1.311447906E1,-6.788749695E-1,1.168077850E1
5.594761480E2,1.280492401E1,8.451919556E-1,1.208167267E1
5.595758810E2,1.250877380E1,2.900787354E0,1.223037720E1
5.596756130E2,1.224861908E1,4.092357635E0,1.223462677E1
5.597753460E2,1.200273132E1,3.772380829E0,1.236081696E1
5.598750790E2,1.166570282E1,4.010761261E0,1.217274475E1
5.599748110E2,1.116082001E1,5.190284729E0,1.213105011E1
5.600745428E2,1.083076477E1,5.366760254E0,1.215749359E1
5.601742748E2,1.048071289E1,5.503437042E0,1.233744049E1
5.602740078E2,1.095452881E1,5.434535980E0,1.237383270E1
5.603737408E2,1.165615082E1,3.879573822E0,1.111003113E1
5.604734728E2,1.214167023E1,1.704109192E0,1.062222290E1
5.605732058E2,1.284260559E1,1.013683319E0,1.044853210E1
5.606729388E2,1.365219116E1,9.468688965E-1,1.037836456E1
5.607726708E2,1.461566162E1,-1.195362091E0,9.591606140E0
5.608724038E2,1.601412964E1,-4.560436249E0,8.491447449E0
5.609721368E2,1.643906403E1,-5.163028717E0,6.801704407E0
5.610718695E2,1.589566040E1,-5.245624542E0,5.774253845E0
5.611716025E2,1.538793945E1,-6.834987640E0,5.095031738E0
5.612713345E2,1.490010071E1,-7.611457825E0,5.265380859E0
5.613710675E2,1.469559479E1,-8.337844849E0,5.544464111E0
5.614708005E2,1.530481720E1,-9.595592499E0,4.030044556E0
5.615705325E2,1.588462830E1,-7.486686707E0,4.268920898E0
5.616702655E2,1.627935028E1,3.430606842E0,6.875297546E0
5.617699985E2,1.606446075E1,1.374532318E1,9.682662964E0
5.618697305E2,1.435990906E1,1.963648224E1,1.115573120E1
5.619694635E2,1.390496826E1,2.154629898E1,1.171047211E1
5.620691955E2,1.549696350E1,2.828342628E1,1.501049042E1
5.621689285E2,1.501126862E1,3.287628937E1,1.638037109E1
5.622686615E2,1.498846436E1,3.433934784E1,1.628842926E1
5.623683935E2,1.558617401E1,3.387442017E1,1.599739838E1
5.624681265E2,1.578894043E1,3.266813660E1,1.613800812E1
5.625678585E2,1.565615845E1,3.164121628E1,1.645375061E1
5.626675915E2,1.575186920E1,3.135512161E1,1.650418854E1
5.627673245E2,1.549085999E1,3.090933990E1,1.583451080E1
5.628670565E2,1.450787354E1,3.033263588E1,1.619474792E1
5.629667895E2,1.395486450E1,2.992477226E1,1.604048920E1
5.630665243E2,1.388408661E1,2.893000793E1,1.597079468E1
5.631662563E2,1.380389404E1,2.875292587E1,1.614192963E1
5.632659893E2,1.336374664E1,2.847743988E1,1.591200256E1
5.633657213E2,1.286775208E1,2.831410027E1,1.525326538E1
5.634654543E2,1.270100403E1,2.755095482E1,1.466024017E1
5.635651863E2,1.239442444E1,2.683429718E1,1.374585724E1
5.636649193E2,1.222006989E1,2.591930580E1,1.336328125E1
5.637646523E2,1.202511597E1,2.498717880E1,1.286789703E1
5.638643843E2,1.171978760E1,2.395091438E1,1.258523560E1
5.639641173E2,1.187734985E1,2.303486443E1,1.175528717E1
5.640638475E2,1.160577393E1,2.222733688E1,1.186885834E1
5.641635805E2,1.138972473E1,2.183594131E1,1.154399872E1
5.642633135E2,1.150933838E1,2.120343781E1,1.198282623E1
5.643630455E2,1.164166260E1,2.065060043E1,1.134506226E1
5.644627785E2,1.144595337E1,1.984906769E1,1.138726807E1
5.645625105E2,1.170967865E1,1.986265564E1,1.136774445E1
5.646622435E2,1.157744598E1,1.948590851E1,1.138047791E1
5.647619765E2,1.163436127E1,1.810031128E1,1.072068024E1
5.648617085E2,1.219403839E1,1.070545197E1,9.517379761E0
5.649614415E2,1.281815338E1,5.908103943E0,8.247016907E0
5.650611734E2,1.254084015E1,4.689849854E0,7.569328308E0
5.651609064E2,1.242932129E1,3.011707306E0,7.585884094E0
5.652606384E2,1.239743805E1,1.522823334E0,7.718315125E0
5.653603714E2,1.250627899E1,-6.767921448E-1,7.013542175E0
5.654601044E2,1.249766541E1,-2.183212280E0,6.391929626E0
5.655598364E2,1.269935608E1,-4.088813782E0,5.835548401E0
5.656595694E2,1.297388458E1,-6.673870087E0,6.196388245E0
5.657593014E2,1.266348267E1,-8.057067871E0,5.721214294E0
5.658590344E2,1.248182678E1,-9.887058258E0,5.425148010E0
5.659587674E2,1.219721985E1,-1.092980576E1,4.689239502E0
5.660584992E2,1.234026337E1,-1.221547318E1,4.686195374E0
5.661582322E2,1.197199249E1,-1.330359268E1,3.391983032E0
5.662579642E2,1.185063934E1,-1.491122055E1,2.396766663E0
5.663576972E2,1.207451630E1,-1.640375900E1,1.901481628E0
5.664574292E2,1.252384949E1,-1.839221573E1,9.675140381E-1
5.665571622E2,1.230202484E1,-1.727189255E1,2.262054443E0
5.666568952E2,1.215155029E1,-1.424982071E1,3.640998840E0
5.667566272E2,1.130976105E1,-1.109704971E1,4.560401917E0
5.668563602E2,1.118488312E1,-1.104142380E1,4.346809387E0
5.669560922E2,1.160601807E1,-1.400077438E1,2.176834106E0
5.670558253E2,1.103283691E1,-1.755962753E1,7.836380005E-1
5.671555583E2,1.106504059E1,-2.000390244E1,7.305374146E-1
5.672552903E2,1.150278473E1,-2.252122879E1,-5.034332275E-1
5.673550233E2,1.180886841E1,-2.524487686E1,-1.453063965E0
5.674547553E2,1.251284027E1,-2.727267838E1,-1.799133301E0
5.675544883E2,1.221376801E1,-2.930387497E1,-2.067451477E0
5.676542213E2,1.236448669E1,-3.093838882E1,-1.647239685E0
5.677539533E2,1.265021515E1,-3.150549698E1,-1.236007690E0
5.678536863E2,1.291268921E1,-2.980701065E1,-3.360900879E-1
5.679534183E2,1.267920685E1,-2.344539261E1,1.788047791E0
5.680531515E2,1.267791748E1,-1.698391342E1,2.805839539E0
5.681528845E2,1.260043335E1,-1.532870102E1,3.015823364E0
5.682526165E2,1.256552887E1,-1.571975327E1,2.748130798E0
5.683523495E2,1.273737335E1,-1.589157486E1,1.996002197E0
5.684520815E2,1.330673218E1,-1.379666519E1,2.920982361E0
5.685518145E2,1.345374298E1,-6.962104797E0,5.059623718E0
5.686515465E2,1.319209290E1,7.344169617E-1,6.734992981E0
5.687512795E2,1.275769806E1,2.617515564E0,6.687049866E0
5.688510125E2,1.288925171E1,1.904872894E0,6.616561890E0
5.689507445E2,1.306771088E1,1.179580688E0,6.828224182E0
5.690504771E2,1.384972382E1,1.027454376E0,7.033271790E0
5.691502091E2,1.409270477E1,1.532997131E0,7.762588501E0
5.692499421E2,1.386292267E1,2.914928436E0,8.279998779E0
5.693496751E2,1.314925385E1,4.513732910E0,7.945976257E0
5.694494071E2,1.294827271E1,4.044914246E0,8.187988281E0
5.695491401E2,1.206157684E1,7.587593079E0,9.781730652E0
5.696488721E2,1.144387817E1,9.007007599E0,9.400833130E0
5.697486051E2,1.157028961E1,8.548847198E0,1.000206757E1
5.698483381E2,1.160310364E1,9.605781555E0,1.198196411E1
5.699480701E2,1.292250061E1,1.252182770E1,1.366829681E1
5.700478031E2,1.152218628E1,1.891901016E1,1.413887024E1
5.701475361E2,1.071526337E1,2.179690170E1,1.429679108E1
5.702472681E2,1.038853455E1,2.794981575E1,1.531201935E1
5.703470011E2,9.932624817E0,2.729569817E1,1.541887665E1
5.704467331E2,1.026802826E1,2.702198982E1,1.578833008E1
5.705464661E2,1.020262146E1,3.317128754E1,1.855853271E1
5.706461991E2,9.982032776E0,3.712066650E1,1.854393768E1
5.707459311E2,9.158073425E0,3.688760376E1,1.736190033E1
5.708456641E2,7.058471680E0,3.554841614E1,1.662892914E1
5.709453961E2,5.951644897E0,3.576898956E1,1.732257843E1
5.710451291E2,6.417877197E0,3.211646271E1,1.705340576E1
5.711448625E2,8.107978821E0,2.454707718E1,1.521984863E1
5.712445945E2,8.740417480E0,2.304946327E1,1.508384705E1
5.713443275E2,9.245262146E0,2.426815224E1,1.477571106E1
5.714440605E2,8.941284180E0,2.349397087E1,1.367221069E1
5.715437925E2,8.595977783E0,1.984863281E1,1.355349731E1
5.716435255E2,8.386833191E0,1.597095108E1,1.314406586E1
5.717432585E2,9.128814697E0,1.667065048E1,1.427125549E1
5.718429905E2,1.040389252E1,1.772920609E1,1.472542572E1
5.719427235E2,1.083620453E1,2.066708374E1,1.545787048E1
5.720424555E2,1.080218506E1,2.541332245E1,1.670863342E1
5.721421883E2,1.090029144E1,2.514831543E1,1.641436005E1
5.722419213E2,9.221557617E0,2.691856194E1,1.705824280E1
5.723416533E2,7.023757935E0,3.032019234E1,1.730295563E1
5.724413863E2,6.310485840E0,2.913719559E1,1.676444244E1
5.725411193E2,6.502845764E0,2.918006706E1,1.741835785E1
5.726408513E2,7.883872986E0,3.111875534E1,1.655134583E1
5.727405843E2,9.588981628E0,3.169361877E1,1.462226868E1
5.728403173E2,1.113255310E1,3.116180038E1,1.397678375E1
5.729400493E2,1.214156342E1,2.996705818E1,1.512595367E1
5.730397823E2,1.182926941E1,2.908862495E1,1.715341187E1
5.731395159E2,1.030064392E1,3.083022881E1,1.928464508E1
5.732392479E2,9.506278992E0,3.541802979E1,1.995904541E1
5.733389809E2,8.830802917E0,3.669555664E1,1.837957001E1
5.734387129E2,8.709098816E0,3.652967072E1,1.845451355E1
5.735384459E2,1.026133728E1,2.848418999E1,1.529562378E1
5.736381789E2,1.145612335E1,2.350873566E1,1.452481842E1
5.737379109E2,1.193615723E1,2.258556366E1,1.522840881E1
5.738376439E2,1.174599457E1,2.247329330E1,1.520793152E1
5.739373769E2,1.191310120E1,2.228303146E1,1.552906799E1
5.740371089E2,1.180828857E1,2.175335693E1,1.554421234E1
5.741368414E2,1.145317841E1,1.979520798E1,1.518313599E1
5.742365744E2,1.098264313E1,1.787688446E1,1.384371185E1
5.743363064E2,1.123577881E1,1.461908340E1,1.245452881E1
5.744360394E2,1.189042664E1,1.149657059E1,1.120362854E1
5.745357724E2,1.316002655E1,9.952354431E0,1.090676880E1
5.746355044E2,1.242827606E1,7.368450165E0,9.526542664E0
5.747352374E2,8.966064453E0,6.711868286E0,1.050056458E1
5.748349704E2,1.289323425E1,9.447292328E0,1.256591797E1
5.749347024E2,1.123603821E1,9.940021515E0,1.258615875E1
5.750344354E2,1.021443939E1,1.014770508E1,1.201300049E1
5.751341685E2,9.879936218E0,1.042701721E1,1.142328644E1
5.752339005E2,1.024858856E1,6.426155090E0,1.095111084E1
5.753336335E2,1.173453522E1,3.702510834E0,1.013241577E1
